,designatedArea,incidentType
15780,McCurtain ,Severe Ice Storm
15794,Logan ,Severe Ice Storm
15833,Kingfisher ,Tornado
15849,Payne ,Severe Ice Storm
15853,Cleveland ,Tornado
15880,Jefferson ,Severe Ice Storm
15894,Creek ,Tornado
15903,Lincoln ,Tornado
15970,Pottawatomie ,Tornado
15981,Caddo ,Severe Storm(s)
16036,Garvin ,Severe Ice Storm
16040,Jackson ,Severe Storm(s)
16043,Pawnee ,Severe Ice Storm
16055,Comanche ,Severe Ice Storm
16091,Carter ,Severe Storm(s)
16177,Beckham ,Severe Ice Storm
16186,Marshall ,Severe Ice Storm
16212,Carter ,Severe Storm(s)
16219,Latimer ,Tornado
16226,Oklahoma ,Tornado
16288,Caddo ,Severe Storm(s)
16294,Beckham ,Severe Ice Storm
16308,Tulsa ,Severe Ice Storm
16332,Pushmataha ,Severe Ice Storm
16345,Harmon ,Severe Ice Storm
16348,Canadian ,Severe Ice Storm
16355,McClain ,Severe Ice Storm
16362,Woodward ,Severe Ice Storm
16402,Pittsburg ,Severe Ice Storm
16422,Lincoln ,Severe Ice Storm
16500,Caddo ,Severe Ice Storm
16514,Johnston ,Severe Ice Storm
16525,Jackson ,Severe Ice Storm
16539,Haskell ,Severe Ice Storm
16558,Custer ,Severe Ice Storm
16585,Coal ,Severe Ice Storm
16612,Wagoner ,Severe Ice Storm
16614,Washita ,Severe Storm(s)
16616,Beaver ,Severe Storm(s)
16638,Grady ,Severe Ice Storm
16652,Lincoln ,Severe Ice Storm
16653,Beaver ,Severe Ice Storm
16682,Caddo ,Tornado
16683,Washita ,Severe Ice Storm
16685,Pottawatomie ,Severe Ice Storm
16688,Love ,Severe Ice Storm
16694,McCurtain ,Severe Storm(s)
16699,Canadian ,Tornado
16729,Dewey ,Severe Storm(s)
16731,Adair ,Severe Ice Storm
16769,Sequoyah ,Severe Ice Storm
16772,Kingfisher ,Severe Storm(s)
16794,Seminole ,Severe Ice Storm
16816,Cleveland ,Severe Ice Storm
16846,Carter ,Severe Ice Storm
16859,Haskell ,Severe Storm(s)
16977,Pawnee ,Severe Ice Storm
17007,Tillman ,Severe Ice Storm
17024,Oklahoma ,Severe Ice Storm
17035,Payne ,Severe Ice Storm
17053,Comanche ,Severe Storm(s)
17078,Muskogee ,Severe Ice Storm
17091,Blaine ,Severe Ice Storm
17104,Hughes ,Severe Ice Storm
17116,Cotton ,Severe Storm(s)
17144,Pushmataha ,Severe Storm(s)
17152,Kiowa ,Severe Storm(s)
17181,Jackson ,Severe Ice Storm
17220,Noble ,Severe Ice Storm
17221,Murray ,Severe Storm(s)
17249,Pittsburg ,Severe Storm(s)
17251,Harper ,Severe Ice Storm
17255,Ottawa ,Tornado
17261,Jefferson ,Severe Storm(s)
17299,Kiowa ,Severe Storm(s)
17315,Mayes ,Severe Ice Storm
17335,Kingfisher ,Severe Ice Storm
17340,Cherokee ,Severe Ice Storm
17362,Logan ,Severe Ice Storm
17376,Comanche ,Severe Storm(s)
17397,Harmon ,Severe Ice Storm
17405,Le Flore ,Severe Storm(s)
17409,Beaver ,Severe Storm(s)
17415,Okfuskee ,Severe Storm(s)
17421,Bryan ,Severe Ice Storm
17422,Love ,Severe Storm(s)
17437,Cleveland ,Severe Ice Storm
17442,Payne ,Severe Storm(s)
17444,Custer ,Severe Ice Storm
17456,Noble ,Tornado
17461,Washita ,Severe Ice Storm
17464,Jackson ,Severe Storm(s)
17478,Roger Mills ,Severe Ice Storm
17489,Garfield ,Severe Ice Storm
17501,Coal ,Severe Storm(s)
17511,Kiowa ,Severe Storm(s)
17545,Cleveland ,Severe Storm(s)
17570,Noble ,Severe Ice Storm
17587,Choctaw ,Severe Storm(s)
17631,Latimer ,Severe Ice Storm
17646,Cherokee ,Severe Storm(s)
17682,Oklahoma ,Severe Storm(s)
17699,Logan ,Tornado
17726,Tillman ,Severe Ice Storm
17735,McClain ,Severe Storm(s)
17750,Atoka ,Severe Storm(s)
17763,Oklahoma ,Severe Ice Storm
17779,Garvin ,Severe Ice Storm
17788,Caddo ,Severe Ice Storm
17796,Beckham ,Severe Ice Storm
17807,Oklahoma ,Severe Storm(s)
17809,Marshall ,Severe Storm(s)
17812,Oklahoma ,Severe Storm(s)
17819,Texas ,Severe Storm(s)
17842,Kingfisher ,Severe Ice Storm
17846,Greer ,Severe Ice Storm
17849,Osage ,Severe Ice Storm
17871,Grady ,Severe Storm(s)
17875,Murray ,Severe Ice Storm
17908,Washita ,Severe Ice Storm
17927,Alfalfa ,Severe Ice Storm
17959,Osage ,Severe Ice Storm
17977,Choctaw ,Severe Ice Storm
18022,Osage ,Severe Ice Storm
18029,Custer ,Severe Storm(s)
18035,Cotton ,Severe Storm(s)
18037,Washita ,Severe Storm(s)
18082,Caddo ,Severe Storm(s)
18098,Delaware ,Severe Ice Storm
18110,Carter ,Severe Storm(s)
18124,Seminole ,Severe Storm(s)
18137,Alfalfa ,Severe Storm(s)
18261,Rogers ,Severe Ice Storm
18262,Stephens ,Severe Ice Storm
18339,Payne ,Severe Ice Storm
18371,Ellis ,Severe Storm(s)
18375,Mayes ,Severe Storm(s)
18376,McClain ,Severe Storm(s)
18441,Pottawatomie ,Severe Ice Storm
18504,Texas ,Severe Ice Storm
18514,Canadian ,Severe Ice Storm
18532,Muskogee ,Severe Storm(s)
18651,Tillman ,Severe Storm(s)
18659,Roger Mills ,Severe Storm(s)
18674,Blaine ,Severe Ice Storm
18681,Grady ,Severe Storm(s)
18699,Johnston ,Severe Storm(s)
18711,Okmulgee ,Severe Storm(s)
18721,Rogers ,Severe Ice Storm
18726,Okmulgee ,Severe Ice Storm
